,Social,Direct:Generic,Null,Direct:Brand,SEM:Generic,Coop,SEM:Brand,Other(utm),Remarketing,Display,Conversion,CRM,SEO:Brand,Shopping,Referral,Affiliate,Start,SEO:Generic
Social,0.0,0.013157894736842105,0.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.013157894736842105,0.06578947368421052,0.868421052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421
Direct:Generic,2.209407657806942e-05,0.0,0.004242062702989329,0.06073661651311284,0.04295088486776695,0.005302578378736661,0.00015465853604648594,8.837630631227768e-05,0.005744459910298049,0.0020768431983385254,0.7693599346015333,0.015487947681226664,0.009633017388038267,0.005810742140032257,0.0050595435363778975,0.007688738649168158,0.0,0.06564150151344425
Null,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Direct:Brand,4.0831325793148504e-05,0.04911191866399902,0.0020334000244987957,0.0,0.023992487036054062,0.002017067494181536,6.53301212690376e-05,0.0,0.0028581928055203955,0.0038136458290800703,0.8319055979747663,0.028818749744804213,0.005675554285247642,0.006320689232779389,0.01120411579763995,0.004940590420970969,0.0,0.027201829243395533
SEM:Generic,7.634869978164272e-06,0.02048435615141474,0.0008627403075325628,0.01762127990960314,0.0,0.005382583334605812,0.00014506252958512117,7.634869978164272e-06,0.007611965368229779,0.0030157736413748875,0.8280779978316969,0.007108063949670937,0.005329139244758661,0.006886652720304173,0.006512544091374124,0.005275695154911512,0.0,0.08567087602498129
Coop,0.0,0.007040866568193008,0.03210241260462826,0.009354997538158542,0.035401280157557856,0.0,9.847365829640571e-05,4.9236829148202856e-05,0.0012309207287050715,0.0006400787789266371,0.8591826686361398,0.0018217626784835057,0.0029049729197439685,0.002018709995076317,0.00379123584441162,0.0023141309699655343,0.0,0.04204825209256524
SEM:Brand,0.0,0.03033980582524272,0.0024271844660194173,0.00849514563106796,0.03762135922330097,0.0012135922330097086,0.0,0.0,0.007281553398058253,0.0012135922330097086,0.8143203883495146,0.006067961165048544,0.03155339805825243,0.0012135922330097086,0.0024271844660194173,0.013349514563106795,0.0,0.04247572815533981
Other(utm),0.0,0.0,0.01990049751243781,0.009950248756218905,0.009950248756218905,0.0,0.0,0.0,0.0,0.0,0.9253731343283582,0.009950248756218905,0.0,0.0,0.004975124378109453,0.0,0.0,0.01990049751243781
Remarketing,0.00013312034078807243,0.026624068157614485,0.001996805111821086,0.025559105431309903,0.08506389776357827,0.004526091586794462,0.00039936102236421724,0.0,0.0,0.03314696485623003,0.6984824281150159,0.01823748668796592,0.011315228966986156,0.008652822151224707,0.014909478168264111,0.003993610223642172,0.0,0.06695953141640043
Display,0.0005305508886727386,0.005836059775400124,0.0011495269254576002,0.02007250862145194,0.020514634362012556,0.0012379520735697233,8.842514811212309e-05,0.0,0.016800778141303388,0.0,0.8343796975859935,0.029003448580776373,0.002122203554690954,0.003094880183924308,0.04032186753912813,0.0023874789990273233,0.0,0.022459987620479266
Conversion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRM,0.0,0.021064060803474484,0.0030401737242128123,0.08720955483170467,0.028751357220412596,0.0018675352877307275,8.686210640608035e-05,0.0,0.006297502714440825,0.011161780673181325,0.7354180238870792,0.0,0.0042996742671009775,0.004560260586319218,0.059326818675352874,0.005515743756786102,0.0,0.03140065146579805
SEO:Brand,0.0,0.04188089652074078,0.001896870164229022,0.030100334448160536,0.03908550891029801,0.0023960465232366595,0.0003993410872061099,0.0,0.006589127938900814,0.0010981879898168023,0.7972345629710977,0.006239704487595468,0.0,0.003244646333549643,0.003494234513053462,0.009434433185244347,0.0,0.05690610492687066
Shopping,9.565716472163765e-05,0.023053376697914674,0.001339200306102927,0.0510809259613545,0.08303041897838148,0.0043045724124736945,0.0,0.0,0.008800459154390664,0.003921943753587144,0.7132198201645303,0.010617945284101779,0.005739429883298259,0.0,0.002774057776927492,0.003921943753587144,0.0,0.08810024870862827
Referral,0.0,0.008296308774294077,0.0008633214714366933,0.0536101577140932,0.022256848666063044,0.0013265671390368702,2.1056621254553494e-05,0.0,0.004779853024783644,0.020088016676844032,0.7941925838579942,0.0659703943905161,0.002042492261691689,0.0006738118801457118,0.0,0.005580004632456676,0.0,0.020298582889389568
Affiliate,0.0,0.023669022761169833,0.002399325594967901,0.026198041631541404,0.043058167434018545,0.0040853381752156154,0.0001296932754036703,0.0,0.004474418001426626,0.001621165942545879,0.7951494714999028,0.0075870566111147135,0.015692886323844107,0.0035017184358990985,0.019843071136761557,0.0,0.0,0.05259062317618832
Start,0.00011123344695484299,0.05452889807245634,0.0,0.20261643690989714,0.20341769479050406,0.033605698168984344,0.0014177551205091852,0.00036575065608880576,0.007812735664082531,0.01583851165877349,0.0,0.023924617658592502,0.030726825736780188,0.01331219269403638,0.07884566076438117,0.022889581008114387,0.0,0.31058640764984463
SEO:Generic,1.0611543236732918e-05,0.025902777040865053,0.00136358330592018,0.017047444209811434,0.0665502934091705,0.005210267729235863,0.00010080966074896272,5.305771618366459e-06,0.0046372443944522855,0.002042722073071087,0.8498307458853741,0.006255504738054055,0.006441206744696881,0.005602894828994981,0.004228699979838068,0.004769888684911447,0.0,0.0
